addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,ref,website,building,amenity,building:levels,building:material,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,hospital,,,,,,,,,,,,,41918056754,1682963293,1,0,"POLYGON ((-94.52638244628906 37.053367614746094, -94.52676391601562 37.053184509277344, -94.5267562866211 37.05317306518555, -94.52769470214844 37.052703857421875, -94.52767944335938 37.05268096923828, -94.52776336669922 37.052635192871094, -94.52758026123047 37.052406311035156, -94.52782440185547 37.05229568481445, -94.52788543701172 37.052371978759766, -94.52808380126953 37.052276611328125, -94.52800750732422 37.05217742919922, -94.52799224853516 37.05218505859375, -94.52791595458984 37.052085876464844, -94.52770233154297 37.05220031738281, -94.52771759033203 37.05222702026367, -94.52766418457031 37.052249908447266, -94.52761840820312 37.05217742919922, -94.52754211425781 37.052215576171875, -94.52748107910156 37.0521354675293, -94.52745056152344 37.05215072631836, -94.52742767333984 37.052120208740234, -94.52732849121094 37.05210494995117, -94.52729034423828 37.05205154418945, -94.52734375 37.052024841308594, -94.52717590332031 37.051795959472656, -94.52713775634766 37.05181884765625, -94.527099609375 37.051788330078125, -94.52644348144531 37.05192565917969, -94.52643585205078 37.05189514160156, -94.52643585205078 37.05176544189453, -94.52632141113281 37.05176544189453, -94.52632141113281 37.05186462402344, -94.52623748779297 37.05186462402344, -94.52623748779297 37.05185317993164, -94.52613067626953 37.05185317993164, -94.52613067626953 37.05192184448242, -94.52604675292969 37.05194091796875, -94.52605438232422 37.051979064941406, -94.52608489990234 37.05197525024414, -94.52607727050781 37.0519905090332, -94.52607727050781 37.052024841308594, -94.52609252929688 37.05205535888672, -94.52611541748047 37.052085876464844, -94.52616882324219 37.05214309692383, -94.52618408203125 37.052242279052734, -94.52619171142578 37.05228805541992, -94.5262222290039 37.05231857299805, -94.52628326416016 37.05234146118164, -94.52633666992188 37.05232620239258, -94.52635192871094 37.05234909057617, -94.52647399902344 37.05229187011719, -94.52658081054688 37.05244064331055, -94.52650451660156 37.05248260498047, -94.52647399902344 37.05244445800781, -94.52587890625 37.0527458190918, -94.52627563476562 37.05324172973633, -94.52613830566406 37.053314208984375, -94.52603912353516 37.05318832397461, -94.52607727050781 37.05317306518555, -94.5259780883789 37.05305099487305, -94.52601623535156 37.05302810668945, -94.52593231201172 37.052921295166016, -94.5258560180664 37.052955627441406, -94.52589416503906 37.05299377441406, -94.52555847167969 37.05316162109375, -94.52581024169922 37.05348587036133, -94.5257797241211 37.053497314453125, -94.52587127685547 37.05359649658203, -94.52615356445312 37.053462982177734, -94.5262222290039 37.053489685058594, -94.52629089355469 37.05350112915039, -94.52635955810547 37.05350112915039, -94.52640533447266 37.053489685058594, -94.52645874023438 37.053466796875, -94.52638244628906 37.053367614746094), (-94.52667236328125 37.05301284790039, -94.52655029296875 37.0528564453125, -94.52640533447266 37.05292892456055, -94.52652740478516 37.05308532714844, -94.52667236328125 37.05301284790039), (-94.52652740478516 37.052825927734375, -94.52641296386719 37.05268096923828, -94.5262680053711 37.05275344848633, -94.52638244628906 37.05289840698242, -94.52652740478516 37.052825927734375))","{""type"":""multipolygon""}",relation
,,,,,,Eastmorland School,,,,,,school,,,,,,,,,,,,,2823880479,1439014336,1,0,"POLYGON ((-94.47860717773438 37.07775115966797, -94.4786376953125 37.07716751098633, -94.47883605957031 37.07717514038086, -94.47888946533203 37.07719039916992, -94.47891998291016 37.07712173461914, -94.47940826416016 37.077274322509766, -94.47936248779297 37.07736587524414, -94.47935485839844 37.077571868896484, -94.47943878173828 37.07757568359375, -94.47942352294922 37.07776641845703, -94.47945404052734 37.0777702331543, -94.47945404052734 37.07783126831055, -94.47928619384766 37.07782745361328, -94.47927856445312 37.07783889770508, -94.47923278808594 37.07783508300781, -94.47924041748047 37.07771682739258, -94.47888946533203 37.07780456542969, -94.47887420654297 37.0777587890625, -94.47880554199219 37.077754974365234, -94.47879791259766 37.07786560058594, -94.47884368896484 37.07786560058594, -94.47882080078125 37.078182220458984, -94.47857666015625 37.07817459106445, -94.47859954833984 37.07786560058594, -94.47868347167969 37.0778694152832, -94.47869110107422 37.07775115966797, -94.47860717773438 37.07775115966797), (-94.4791488647461 37.077552795410156, -94.47911834716797 37.07748031616211, -94.47911834716797 37.07745361328125, -94.4791488647461 37.077392578125, -94.47887420654297 37.077308654785156, -94.47886657714844 37.07733917236328, -94.4788589477539 37.07734680175781, -94.47885131835938 37.07757568359375, -94.47886657714844 37.07762145996094, -94.4791488647461 37.077552795410156))","{""type"":""multipolygon""}",relation
