addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:street,email,name,opening_hours,operator,phone,website,building,amenity,building:levels,building:material,craft,height,internet_access,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type,ref,landuse,building:flats
Little Rock,,,1601,,72206,South Main Street,,Walgreens,,,,,roof;yes,pharmacy,,,,,,,,,,,5188387664,1705368361,6,0,"POLYGON ((-92.27313995361328 34.733154296875, -92.27278137207031 34.73310470581055, -92.27276611328125 34.73316192626953, -92.27269744873047 34.733154296875, -92.27271270751953 34.733097076416016, -92.27263641357422 34.73308563232422, -92.27268981933594 34.732810974121094, -92.27313232421875 34.732872009277344, -92.27314758300781 34.73286437988281, -92.2731704711914 34.73287582397461, -92.27317810058594 34.73289108276367, -92.27318572998047 34.732906341552734, -92.27318572998047 34.732913970947266, -92.27318572998047 34.73291778564453, -92.27313995361328 34.733154296875))","{""addr:state"":""AR"",""brand"":""Walgreens"",""brand:wikidata"":""Q1591889"",""dispensing"":""yes"",""drive_through"":""yes"",""healthcare"":""pharmacy"",""type"":""multipolygon""}",relation,,,
Little Rock,,,1321,,72202,Main Street,,E-Z Mart,,,,,roof,fuel,,,,,,,,,,,5180005811,1616267548,2,0,"MULTIPOLYGON (((-92.27243041992188 34.73569869995117, -92.27238464355469 34.73569107055664, -92.27238464355469 34.7357063293457, -92.27235412597656 34.73570251464844, -92.27222442626953 34.735687255859375, -92.27224731445312 34.73552703857422, -92.27239990234375 34.73554229736328, -92.2724609375 34.73554992675781, -92.27243041992188 34.73569869995117)), ((-92.27262115478516 34.73554229736328, -92.27256774902344 34.7354850769043, -92.27262878417969 34.735435485839844, -92.27268981933594 34.735496520996094, -92.27262115478516 34.73554229736328)))","{""addr:state"":""AR"",""self_service"":""yes"",""type"":""multipolygon""}",relation,,,
,,,,,,,,Shell,,,,,roof,fuel,,,,,,,,,,,5163242108,1649943134,2,0,"MULTIPOLYGON (((-92.2632827758789 34.73925018310547, -92.26309204101562 34.7392463684082, -92.26309204101562 34.7391471862793, -92.2632827758789 34.7391471862793, -92.2632827758789 34.73925018310547)), ((-92.26319885253906 34.73925018310547, -92.26319122314453 34.739437103271484, -92.26305389404297 34.73943328857422, -92.2630615234375 34.73925018310547, -92.26319885253906 34.73925018310547)))","{""brand"":""Shell"",""brand:wikidata"":""Q110716465"",""type"":""multipolygon""}",relation,,,
Little Rock,,,,,,East 9th Street,,Superstop,,Superstop,,,yes,fuel,,,,,,,,microsoft/BuildingFootprints,,,60034807584,1712082300,1,0,"MULTIPOLYGON (((-92.26327514648438 34.739784240722656, -92.26334381103516 34.73978805541992, -92.26334381103516 34.739646911621094, -92.26327514648438 34.739646911621094, -92.26327514648438 34.739784240722656)), ((-92.26327514648438 34.739784240722656, -92.26309967041016 34.73978042602539, -92.26309967041016 34.739837646484375, -92.26327514648438 34.73984146118164, -92.26327514648438 34.739784240722656)))","{""addr:state"":""AR"",""fuel:Midgrade"":""yes"",""fuel:Premium"":""yes"",""fuel:Regular"":""yes"",""self_service"":""yes"",""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,microsoft/BuildingFootprints,,,30279230949,1625688143,1,0,"POLYGON ((-92.27197265625 34.74317932128906, -92.27243041992188 34.74324035644531, -92.27249908447266 34.742919921875, -92.27244567871094 34.74291229248047, -92.27249145507812 34.74269104003906, -92.2723388671875 34.74266815185547, -92.2723159790039 34.742801666259766, -92.27217102050781 34.74278259277344, -92.27216339111328 34.742828369140625, -92.27220153808594 34.742835998535156, -92.27218627929688 34.742916107177734, -92.27204895019531 34.742897033691406, -92.27204132080078 34.74292755126953, -92.27201843261719 34.742923736572266, -92.27197265625 34.74317932128906), (-92.27235412597656 34.74293899536133, -92.27233123779297 34.74293518066406, -92.2723388671875 34.7429084777832, -92.27235412597656 34.74291229248047, -92.27235412597656 34.74293899536133), (-92.27239990234375 34.74294662475586, -92.27237701416016 34.74294662475586, -92.27238464355469 34.74291229248047, -92.27239990234375 34.742916107177734, -92.27239990234375 34.74294662475586))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,,,,1681450847,1490533321,2,0,"POLYGON ((-92.24504089355469 34.74235153198242, -92.24557495117188 34.74235916137695, -92.24557495117188 34.74252700805664, -92.24567413330078 34.742530822753906, -92.24565887451172 34.742855072021484, -92.24568939208984 34.742855072021484, -92.24568176269531 34.74301528930664, -92.24564361572266 34.74301528930664, -92.24563598632812 34.743370056152344, -92.2455062866211 34.74336624145508, -92.2455062866211 34.74337387084961, -92.24549102783203 34.743438720703125, -92.24545288085938 34.74349594116211, -92.24539947509766 34.74353790283203, -92.24533081054688 34.74356460571289, -92.24525451660156 34.74357223510742, -92.24518585205078 34.743553161621094, -92.24513244628906 34.7435302734375, -92.24507904052734 34.74348449707031, -92.24504852294922 34.74342727661133, -92.24504089355469 34.74336624145508, -92.24504089355469 34.74335861206055, -92.24491119384766 34.74335479736328, -92.24492645263672 34.74299621582031, -92.24490356445312 34.74299621582031, -92.24491119384766 34.74283981323242, -92.24492645263672 34.74283981323242, -92.24494171142578 34.742515563964844, -92.24504089355469 34.742515563964844, -92.24504089355469 34.74235153198242), (-92.24517822265625 34.743370056152344, -92.24517822265625 34.74339294433594, -92.24520111083984 34.7434196472168, -92.24520874023438 34.743431091308594, -92.2452392578125 34.74344253540039, -92.2452621459961 34.74345016479492, -92.24529266357422 34.743446350097656, -92.24531555175781 34.74343490600586, -92.2453384399414 34.7434196472168, -92.24535369873047 34.7433967590332, -92.24535369873047 34.74337387084961, -92.24535369873047 34.74336242675781, -92.245361328125 34.74332809448242, -92.24537658691406 34.74332809448242, -92.2453842163086 34.74302291870117, -92.24517822265625 34.743019104003906, -92.24517059326172 34.743324279785156, -92.24517822265625 34.743324279785156, -92.24517822265625 34.743370056152344), (-92.24519348144531 34.74252700805664, -92.24518585205078 34.74283218383789, -92.24540710449219 34.742835998535156, -92.24541473388672 34.742530822753906, -92.24519348144531 34.74252700805664))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,,,,44889481464,1674539891,1,0,"POLYGON ((-92.26615905761719 34.743289947509766, -92.26622772216797 34.742919921875, -92.26599884033203 34.742889404296875, -92.2659683227539 34.74301528930664, -92.26588439941406 34.743003845214844, -92.26587677001953 34.74304962158203, -92.2658920288086 34.74304962158203, -92.26585388183594 34.74324417114258, -92.26591491699219 34.74325180053711, -92.26590728759766 34.74326705932617, -92.26596069335938 34.7432746887207, -92.26596069335938 34.743289947509766, -92.26604461669922 34.74330139160156, -92.26604461669922 34.743289947509766, -92.26609802246094 34.7432975769043, -92.26609802246094 34.743282318115234, -92.26615905761719 34.743289947509766), (-92.26604461669922 34.743125915527344, -92.26605987548828 34.74305725097656, -92.26602172851562 34.74304962158203, -92.26600646972656 34.74312210083008, -92.26604461669922 34.743125915527344))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,Arkansas BlueCross BlueShield,,,,,commercial,,,,,,,insurance,,,,,2856958871,1472684802,1,0,"MULTIPOLYGON (((-92.27850341796875 34.743492126464844, -92.27855682373047 34.743221282958984, -92.27806854248047 34.74315643310547, -92.27801513671875 34.74342727661133, -92.27814483642578 34.74344253540039, -92.27850341796875 34.743492126464844)), ((-92.27837371826172 34.743980407714844, -92.2782974243164 34.74396896362305, -92.2782974243164 34.743980407714844, -92.27812957763672 34.743961334228516, -92.27813720703125 34.74394607543945, -92.2780990600586 34.74393844604492, -92.27812194824219 34.74381637573242, -92.27813720703125 34.74382019042969, -92.27815246582031 34.74369812011719, -92.2780990600586 34.743690490722656, -92.27813720703125 34.743473052978516, -92.2784652709961 34.7435188293457, -92.27837371826172 34.743980407714844)))","{""type"":""multipolygon""}",relation,,,
Little Rock,,,625,,72201,West Capitol Avenue,,Legacy Hotel & Suites,,,,,hotel,,,,,,,,,,,,2863506066,1642491960,2,0,"POLYGON ((-92.27821350097656 34.745018005371094, -92.27799987792969 34.7449951171875, -92.27804565429688 34.74477005004883, -92.2781982421875 34.744789123535156, -92.27825927734375 34.74479675292969, -92.27821350097656 34.745018005371094))","{""addr:state"":""AR"",""tourism"":""hotel"",""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,,,,31325667018,1632244681,1,0,"POLYGON ((-92.2817611694336 34.74549102783203, -92.28153991699219 34.745460510253906, -92.28156280517578 34.74531936645508, -92.28157043457031 34.74528884887695, -92.2816162109375 34.745296478271484, -92.28160858154297 34.745323181152344, -92.28179168701172 34.74534606933594, -92.2817611694336 34.74549102783203))","{""type"":""multipolygon""}",relation,,,
